date,value
2018-01-01,202.61808774535095
2018-02-01,203.53901152834044
2018-03-01,208.12226295153374
2018-04-01,213.10873748221465
2018-05-01,222.88613613811384
2018-06-01,225.70261292162073
2018-07-01,225.18237587347303
2018-08-01,225.0546250645398
2018-09-01,220.67619400421756
2018-10-01,215.33780438016208
2018-11-01,213.82467972038722
2018-12-01,210.30322202513398
2019-01-01,212.47272420250698
2019-02-01,212.99969122643478
2019-03-01,218.05703831253462
2019-04-01,224.22294064295426
2019-05-01,229.3493143966759
2019-06-01,233.22620793811302
2019-07-01,233.41926652376446
2019-08-01,236.48202859520333
2019-09-01,230.7996824550972
2019-10-01,228.74928687191098
2019-11-01,223.5840419850727
2019-12-01,219.3354187513831
2020-01-01,221.7257034431282
2020-02-01,225.54804561309564
2020-03-01,229.7194480707119
2020-04-01,233.38851815383336
2020-05-01,240.6976683359016
2020-06-01,243.71126615647984
2020-07-01,244.61501882540037
2020-08-01,245.92518271820543
2020-09-01,244.5006902277823
2020-10-01,240.34072690117455
2020-11-01,231.35800017876625
2020-12-01,229.6102003332643
2021-01-01,234.02737818010078
2021-02-01,233.01257842374355
2021-03-01,236.4161883000625
2021-04-01,242.47070880395142
2021-05-01,248.63034006421188
2021-06-01,251.64640494008336
2021-07-01,253.6241545693916
2021-08-01,253.38868130741324
2021-09-01,250.1314944033809
2021-10-01,245.6807355570116
2021-11-01,246.2224493159141
2021-12-01,241.04626660677832
2022-01-01,242.73013858160712
2022-02-01,243.4663837978216
2022-03-01,247.72106498422093
2022-04-01,251.72966902794448
2022-05-01,253.6224374976212
2022-06-01,259.3329860847282
2022-07-01,261.4840719800294
2022-08-01,260.62532433307257
2022-09-01,259.00696153855284
2022-10-01,258.5874335190725
2022-11-01,252.33334574844346
2022-12-01,252.13584564348176
2023-01-01,251.6164738653513
2023-02-01,254.97383823857274
2023-03-01,256.24865450704317
2023-04-01,263.185926431289
2023-05-01,268.2930713511115
2023-06-01,270.13502906164945
2023-07-01,274.6393105559243
2023-08-01,274.44928163786227
2023-09-01,269.57567106830487
2023-10-01,264.5158473515935
2023-11-01,260.22380750215257
2023-12-01,259.9297583128822
